,datetime,tempmin,temp,tempmax
0,2022-12-19,-0.7,1.8,5.6
1,2022-12-20,-1.2,1.1,4.4
2,2022-12-21,-2.9,0.2,3.9
3,2022-12-22,-2.3,3.0,7.2
4,2022-12-23,-5.0,7.7,13.9
5,2022-12-24,-11.6,-9.2,-7.1
6,2022-12-25,-10.0,-6.6,-2.8
7,2022-12-26,-5.7,-2.7,1.2
